set V := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16; #vertices

set H := 1 2 3 4; #colors used in precoloring

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (1,9) (1,13) (2,5) (2,6) (2,3) (2,4) 
		(2,10) (2,14) (3,7) (3,11) (3,15) (3,8) (3,4) (4,7) (4,8) (4,12) 
		(4,16) (5,6) (5,9) (5,13) (5,7) (5,8) (6,7) (6,8) (6,10) (6,14) 
		(7,11) (7,15) (7,8) (8,12) (8,16) (9,13) (9,10) (9,14) (9,11) (9,12)
		(10,11) (10,12) (10,14) (10,13) (11,12) (11,15) (11,16)(12,16) (12,15)
		(13,14) (13,15) (13,16) (14,15) (14,16) (15,16); #edges
		
set C := (2,3) (5,1) (8,2) (11,4) (14,1); #precolors: change to be the precolors for
#the specific problems 

param N:= 4; #number of colors in palette -- won't need more than 4 for the 4x4 problem

